,game_id,time,quarter,event,total_time
32708,74,128.0,1,Offensive rebound by L. Scola,2368.0
32709,74,127.0,1,Defensive rebound by K. Love,2372.0
32710,74,114.0,1,R. Foye misses 3-pt shot from 25 ft,2424.0
32711,74,113.0,1,Defensive rebound by Team,2428.0
32712,74,112.0,1,Houston full timeout,2432.0
32713,74,112.0,1,V. Wafer enters the game for S. Battier,2432.0
32714,74,112.0,1,C. Hayes enters the game for L. Scola,2432.0
32715,74,112.0,1,C. Smith enters the game for J. Collins,2432.0
32716,74,112.0,1,M. Miller enters the game for S. Telfair,2432.0
32717,74,97.0,1,M. World Peace makes 2-pt shot from 13 ft,2492.0
32718,74,82.0,1,K. Love misses 2-pt shot from 20 ft,2552.0
32719,74,81.0,1,Defensive rebound by Y. Ming,2556.0
32720,74,66.0,1,A. Brooks misses 3-pt shot from 26 ft,2616.0
32721,74,65.0,1,Defensive rebound by K. Love,2620.0
32722,74,48.0,1,C. Smith makes 2-pt shot at rim (assist by R. Foye),2688.0
32723,74,32.0,1,Y. Ming misses 2-pt shot at rim (block by C. Smith),2752.0
32724,74,32.0,1,Jump ball: Y. Ming vs. C. Smith (V. Wafer gains possession),2752.0
32725,74,32.0,1,Offensive rebound by Team,2752.0
32726,74,25.0,1,V. Wafer misses 2-pt shot from 21 ft,2780.0
32727,74,23.0,1,Defensive rebound by Team,2788.0
32728,74,5.0,1,Personal foul by A. Brooks (drawn by R. Foye),2860.0
32729,74,5.0,1,K. Lowry enters the game for A. Brooks,2860.0
32730,74,5.0,1,L. Scola enters the game for Y. Ming,2860.0
32731,74,3.0,1,Turnover by C. Smith (bad pass; steal by K. Lowry),2868.0
32732,74,0.0,1,K. Lowry misses 3-pt shot from 29 ft,720.0
32733,74,0.0,1,Offensive rebound by Team,720.0
32734,74,0.0,2,End of 1st quarter,1440.0
32735,74,720.0,2,Start of 2nd quarter,720.0
32736,74,710.0,2,K. Lowry makes 2-pt shot at rim (assist by C. Hayes),750.0
32737,74,695.0,2,M. Miller misses 2-pt shot at rim,795.0
32738,74,693.0,2,Defensive rebound by C. Hayes,801.0
32739,74,687.0,2,B. Barry makes 3-pt shot from 27 ft (assist by K. Lowry),819.0
32740,74,672.0,2,R. Foye misses 2-pt shot at rim (block by K. Lowry),864.0
32741,74,672.0,2,Offensive rebound by Team,864.0
32742,74,667.0,2,Turnover by R. Foye (bad pass; steal by C. Hayes),879.0
32743,74,661.0,2,V. Wafer makes 3-pt shot from 25 ft (assist by B. Barry),897.0
32744,74,644.0,2,Shooting foul by C. Hayes (drawn by K. Love),948.0
32745,74,644.0,2,K. Love misses free throw 1 of 2,948.0
32746,74,644.0,2,Offensive rebound by Team,948.0
32747,74,644.0,2,K. Love makes free throw 2 of 2,948.0
32748,74,630.0,2,Turnover by B. Barry (bad pass),990.0
32749,74,614.0,2,C. Smith makes 2-pt shot from 7 ft (assist by M. Miller),1038.0
32750,74,597.0,2,Turnover by V. Wafer (bad pass; steal by R. Carney),1089.0
32751,74,583.0,2,K. Love makes 2-pt shot at rim (assist by M. Miller),1131.0
32752,74,582.0,2,Houston full timeout,1134.0
32753,74,582.0,2,B. Cardinal enters the game for K. Love,1134.0
32754,74,570.0,2,K. Lowry makes 2-pt shot from 22 ft,1170.0
32755,74,551.0,2,C. Smith makes 2-pt shot from 8 ft (assist by M. Miller),1227.0
32756,74,540.0,2,Defensive three seconds by C. Smith,1260.0
32757,74,540.0,2,B. Barry makes technical free throw,1260.0
32758,74,540.0,2,S. Telfair enters the game for R. Foye,1260.0
32759,74,538.0,2,Shooting foul by S. Telfair (drawn by K. Lowry),1266.0
32760,74,538.0,2,K. Lowry makes free throw 1 of 2,1266.0
32761,74,538.0,2,K. Lowry makes free throw 2 of 2,1266.0
32762,74,527.0,2,B. Cardinal misses 3-pt shot from 24 ft,1299.0
32763,74,526.0,2,Defensive rebound by B. Barry,1302.0
32764,74,514.0,2,V. Wafer misses 2-pt shot from 20 ft,1338.0
32765,74,514.0,2,Defensive rebound by Team,1338.0
32766,74,491.0,2,M. Miller makes 2-pt shot at rim,1407.0
32767,74,466.0,2,L. Scola misses 2-pt shot from 6 ft,1482.0
32768,74,465.0,2,Offensive rebound by C. Hayes,1485.0
32769,74,460.0,2,L. Scola makes 2-pt shot from 15 ft (assist by V. Wafer),1500.0
32770,74,446.0,2,Shooting foul by K. Lowry (drawn by C. Smith),1542.0
32771,74,446.0,2,C. Smith misses free throw 1 of 2,1542.0
32772,74,446.0,2,Offensive rebound by Team,1542.0
32773,74,446.0,2,C. Smith makes free throw 2 of 2,1542.0
32774,74,436.0,2,B. Barry misses 3-pt shot from 25 ft,1572.0
32775,74,435.0,2,Offensive rebound by C. Hayes,1575.0
32776,74,431.0,2,V. Wafer misses 3-pt shot from 25 ft,1587.0
32777,74,430.0,2,Defensive rebound by C. Smith,1590.0
32778,74,416.0,2,B. Cardinal misses 2-pt shot from 11 ft,1632.0
32779,74,415.0,2,Defensive rebound by L. Scola,1635.0
32780,74,401.0,2,K. Lowry misses 2-pt shot at rim,1677.0
32781,74,398.0,2,Defensive rebound by C. Smith,1686.0
32782,74,386.0,2,Shooting foul by L. Scola (drawn by C. Smith),1722.0
32783,74,386.0,2,C. Smith misses free throw 1 of 2,1722.0
32784,74,386.0,2,Offensive rebound by Team,1722.0
32785,74,386.0,2,Y. Ming enters the game for L. Scola,1722.0
32786,74,386.0,2,C. Smith misses free throw 2 of 2,1722.0
32787,74,385.0,2,Defensive rebound by Y. Ming,1725.0
32788,74,362.0,2,Y. Ming misses 2-pt shot from 10 ft,1794.0
32789,74,361.0,2,Defensive rebound by R. Carney,1797.0
32790,74,350.0,2,C. Smith misses 2-pt shot at rim,1830.0
32791,74,349.0,2,Defensive rebound by C. Hayes,1833.0
32792,74,347.0,2,Houston full timeout,1839.0
32793,74,347.0,2,S. Battier enters the game for B. Barry,1839.0
32794,74,347.0,2,M. World Peace enters the game for V. Wafer,1839.0
32795,74,327.0,2,S. Battier makes 3-pt shot from 24 ft (assist by M. World Peace),1899.0
32796,74,309.0,2,C. Smith makes 2-pt shot from 7 ft (assist by M. Miller),1953.0
32797,74,300.0,2,Offensive foul by M. World Peace (drawn by R. Carney),1980.0
32798,74,300.0,2,Turnover by M. World Peace (offensive foul),1980.0
32799,74,285.0,2,Turnover by C. Smith (out of bounds lost ball),2025.0
32800,74,272.0,2,M. World Peace misses 2-pt shot from 12 ft,2064.0
32801,74,271.0,2,Defensive rebound by C. Smith,2067.0
32802,74,263.0,2,K. Ollie enters the game for S. Telfair,2091.0
