,game_id,time,quarter,event,total_time
43165,96,486.0,3,Offensive charge foul by H. Turkoglu (drawn by J. O'Neal),1908.0
43166,96,486.0,3,Turnover by H. Turkoglu (offensive foul),1908.0
43167,96,470.0,3,P. Pierce makes 2-pt shot from 16 ft,1940.0
43168,96,454.0,3,Personal foul by J. O'Neal (drawn by D. Howard),1972.0
43169,96,454.0,3,Double technical foul by J. O'Neal and D. Howard,1972.0
43170,96,454.0,3,G. Davis enters the game for R. Anderson,1972.0
43171,96,454.0,3,G. Stiemsma enters the game for J. O'Neal,1972.0
43172,96,447.0,3,Turnover by J. Nelson (traveling),1986.0
43173,96,434.0,3,P. Pierce misses 2-pt shot from 16 ft,2012.0
43174,96,434.0,3,Defensive rebound by Team,2012.0
43175,96,434.0,3,Loose ball foul by G. Stiemsma (drawn by D. Howard),2012.0
43176,96,422.0,3,Shooting foul by G. Stiemsma (drawn by D. Howard),2036.0
43177,96,422.0,3,D. Howard misses free throw 1 of 2,2036.0
43178,96,422.0,3,Offensive rebound by Team,2036.0
43179,96,422.0,3,D. Howard makes free throw 2 of 2,2036.0
43180,96,410.0,3,B. Bass misses 2-pt shot from 7 ft,2060.0
43181,96,409.0,3,Defensive rebound by J. Nelson,2062.0
43182,96,389.0,3,D. Howard misses 2-pt shot from 2 ft,2102.0
43183,96,388.0,3,Defensive rebound by S. Pavlovic,2104.0
43184,96,377.0,3,Turnover by P. Pierce (bad pass; steal by J. Richardson),2126.0
43185,96,375.0,3,Personal foul by B. Bass (drawn by J. Richardson),2130.0
43186,96,375.0,3,J. Richardson makes free throw 1 of 2,2130.0
43187,96,375.0,3,J. Richardson misses free throw 2 of 2,2130.0
43188,96,375.0,3,Defensive rebound by P. Pierce,2130.0
43189,96,375.0,3,Boston full timeout,2130.0
43190,96,357.0,3,S. Pavlovic misses 3-pt shot from 24 ft,2166.0
43191,96,356.0,3,Defensive rebound by G. Davis,2168.0
43192,96,352.0,3,Turnover by G. Davis (bad pass; steal by A. Bradley),2176.0
43193,96,349.0,3,B. Bass makes 2-pt shot from 1 ft (assist by A. Bradley),2182.0
43194,96,328.0,3,Turnover by G. Davis (bad pass; steal by G. Stiemsma),2224.0
43195,96,323.0,3,Personal foul by H. Turkoglu (drawn by P. Pierce),2234.0
43196,96,323.0,3,Q. Richardson enters the game for H. Turkoglu,2234.0
43197,96,318.0,3,G. Stiemsma misses 2-pt shot from 1 ft (block by G. Davis),2244.0
43198,96,317.0,3,Offensive rebound by S. Pavlovic,2246.0
43199,96,311.0,3,J. Redick enters the game for J. Richardson,2258.0
43200,96,305.0,3,B. Bass misses 2-pt shot from 12 ft,2270.0
43201,96,304.0,3,Defensive rebound by D. Howard,2272.0
43202,96,304.0,3,Personal foul by G. Stiemsma (drawn by D. Howard),2272.0
43203,96,304.0,3,D. Howard misses free throw 1 of 2,2272.0
43204,96,304.0,3,Offensive rebound by Team,2272.0
43205,96,304.0,3,K. Garnett enters the game for B. Bass,2272.0
43206,96,304.0,3,D. Howard misses free throw 2 of 2,2272.0
43207,96,303.0,3,Defensive rebound by A. Bradley,2274.0
